cluster,num_weeks,threshold,mean_point_fraction,mean_sell_point_fraction
0,17,1,0.5588235294117646,9.957344890256058
0,17,2,0.4313725490196078,8.443993381666392
0,17,3,0.3196078431372549,6.536908881199539
0,17,4,0.2450980392156863,5.274581891580162
0,17,5,0.19607843137254904,3.9792723952326026
0,17,6,0.15882352941176472,2.9852187028657617
0,17,7,0.12549019607843137,2.778886554621849
0,17,8,0.09803921568627451,2.9297819827231595
0,17,9,0.07254901960784314,3.331550802139038
0,17,10,0.0588235294117647,2.9649653979238755
1,21,1,0.5222222222222224,8.140043763257626
1,21,2,0.334920634920635,7.146786609380595
1,21,3,0.2253968253968254,6.050252268739663
1,21,4,0.1746031746031746,4.793290043290043
1,21,5,0.1365079365079365,3.4023809523809527
1,21,6,0.1126984126984127,2.296520146520147
1,21,7,0.07777777777777778,1.4185185185185187
1,21,8,0.07142857142857144,0.7566137566137566
1,21,9,0.046031746031746035,0.5595238095238095
1,21,10,0.0365079365079365,0.40476190476190477
2,83,1,0.5562248995983935,10.192403141161803
2,83,2,0.4108433734939759,8.82697201337989
2,83,3,0.321285140562249,7.242694330514652
2,83,4,0.25140562248995985,5.954078778453259
2,83,5,0.19437751004016068,4.445832265419437
2,83,6,0.1441767068273092,3.3454269458787533
2,83,7,0.09839357429718874,2.6928080896188624
2,83,8,0.07590361445783131,2.057446268590847
2,83,9,0.05140562248995983,1.6827643908969208
2,83,10,0.0393574297188755,1.2930388219544846
3,48,1,0.5013888888888889,7.063788261306588
3,48,2,0.3194444444444445,5.930634786557101
3,48,3,0.2041666666666667,4.559960249608188
3,48,4,0.13819444444444443,2.9724036669349174
3,48,5,0.07222222222222223,1.8443336086428193
3,48,6,0.03333333333333333,1.3095238095238095
3,48,7,0.018055555555555557,0.4930555555555555
3,48,8,0.012499999999999999,0.3958333333333333
3,48,9,0.009027777777777777,0.35000000000000003
3,48,10,0.0034722222222222225,0.20486111111111113
4,65,1,0.7317948717948718,8.890212757652217
4,65,2,0.5882051282051284,7.893481767891276
4,65,3,0.4764102564102564,6.6507598159338315
4,65,4,0.37282051282051276,5.248018101909986
4,65,5,0.2815384615384615,3.9708267807414086
4,65,6,0.2076923076923077,3.3920338251359925
4,65,7,0.15692307692307692,2.7617154453733406
4,65,8,0.11897435897435896,2.0553531812317236
4,65,9,0.09128205128205129,1.6318364742346643
4,65,10,0.06564102564102564,1.334885114885115
5,51,1,0.5352941176470588,7.68304581009605
5,51,2,0.38300653594771245,5.939180037194574
5,51,3,0.28627450980392155,4.21896353304702
5,51,4,0.21764705882352944,3.0233410345854823
5,51,5,0.1679738562091503,2.232043897856928
5,51,6,0.12483660130718956,1.668732304299002
5,51,7,0.09803921568627451,1.3416084483859418
5,51,8,0.08823529411764706,1.16454700457258
5,51,9,0.07254901960784314,1.1179582944288828
5,51,10,0.06339869281045751,0.9621226268285092
6,1,1,0.9666666666666667,9.586206896551724
6,1,2,0.9666666666666667,8.517241379310345
6,1,3,0.9666666666666667,8.241379310344827
6,1,4,0.9666666666666667,8.241379310344827
6,1,5,0.8333333333333334,9.4
6,1,6,0.7333333333333333,10.545454545454545
6,1,7,0.5666666666666667,13.352941176470589
6,1,8,0.5,15.0
6,1,9,0.5,15.0
6,1,10,0.5,15.0
